2D Navier Stokes Equation Using Finite Volume Method
Solving in parallel mode
No of Processors:	 2 	 X 2 == 	 4
GRID Size:	 64 	 X 64 
Reynolds number of the simulation:100.000000
Iteration no:	142	 Ures: 	2.9298866557e-02	 Vres: 	6.8495024103e-01	 Pres: 	6.4291077360e-01	 
Iteration no:	143	 Ures: 	3.0017563540e-02	 Vres: 	6.8107308174e-01	 Pres: 	6.0772204898e-01	 
Iteration no:	144	 Ures: 	3.0794280038e-02	 Vres: 	6.7980690392e-01	 Pres: 	5.6818305040e-01	 
Iteration no:	145	 Ures: 	3.1581796979e-02	 Vres: 	6.8075070558e-01	 Pres: 	5.2503404515e-01	 
Iteration no:	146	 Ures: 	3.2338398506e-02	 Vres: 	6.8344932282e-01	 Pres: 	4.7908616551e-01	 
Iteration no:	147	 Ures: 	3.3028569612e-02	 Vres: 	6.8745310868e-01	 Pres: 	4.3130258265e-01	 
Iteration no:	148	 Ures: 	3.3623221356e-02	 Vres: 	6.9232111073e-01	 Pres: 	3.8281595331e-01	 
Iteration no:	149	 Ures: 	3.4099366413e-02	 Vres: 	6.9766463202e-01	 Pres: 	3.3507598568e-01	 
Iteration no:	150	 Ures: 	3.4439819721e-02	 Vres: 	7.0313944040e-01	 Pres: 	2.9000330981e-01	 
Iteration no:	151	 Ures: 	3.4632647848e-02	 Vres: 	7.0847292604e-01	 Pres: 	2.5028892971e-01	 
Iteration no:	152	 Ures: 	3.4670822284e-02	 Vres: 	7.1344684649e-01	 Pres: 	2.1960228757e-01	 
Iteration no:	153	 Ures: 	3.4551718961e-02	 Vres: 	7.1791333498e-01	 Pres: 	2.0218336342e-01	 
Iteration no:	154	 Ures: 	3.4276849211e-02	 Vres: 	7.2177219121e-01	 Pres: 	2.0091490273e-01	 
Iteration no:	155	 Ures: 	3.3851466143e-02	 Vres: 	7.2498096831e-01	 Pres: 	2.1494911178e-01	 
Iteration no:	156	 Ures: 	3.3284379456e-02	 Vres: 	7.2752993164e-01	 Pres: 	2.4018896248e-01	 
Iteration no:	157	 Ures: 	3.2587661264e-02	 Vres: 	7.2944980893e-01	 Pres: 	2.7193822732e-01	 
Iteration no:	158	 Ures: 	3.1776520586e-02	 Vres: 	7.3078634267e-01	 Pres: 	3.0656233916e-01	 
Iteration no:	159	 Ures: 	3.0869079828e-02	 Vres: 	7.3160800353e-01	 Pres: 	3.4158965730e-01	 
Iteration no:	160	 Ures: 	2.9886262947e-02	 Vres: 	7.3198143600e-01	 Pres: 	3.7541128798e-01	 
Iteration no:	161	 Ures: 	2.8851576634e-02	 Vres: 	7.3198071616e-01	 Pres: 	4.0693931941e-01	 
Iteration no:	162	 Ures: 	2.7790906350e-02	 Vres: 	7.3166472163e-01	 Pres: 	4.3544174474e-01	 
Iteration no:	163	 Ures: 	2.6732142749e-02	 Vres: 	7.3108899980e-01	 Pres: 	4.6039765318e-01	 
Iteration no:	164	 Ures: 	2.5704652127e-02	 Vres: 	7.3028579550e-01	 Pres: 	4.8145703469e-01	 
Iteration no:	165	 Ures: 	2.4738437657e-02	 Vres: 	7.2927898267e-01	 Pres: 	4.9837714432e-01	 
Iteration no:	166	 Ures: 	2.3862923170e-02	 Vres: 	7.2806697436e-01	 Pres: 	5.1102002006e-01	 
Iteration no:	167	 Ures: 	2.3105324838e-02	 Vres: 	7.2664042709e-01	 Pres: 	5.1931784940e-01	 
Iteration no:	168	 Ures: 	2.2488631438e-02	 Vres: 	7.2496764142e-01	 Pres: 	5.2327969461e-01	 
Iteration no:	169	 Ures: 	2.2029501199e-02	 Vres: 	7.2301408369e-01	 Pres: 	5.2296958323e-01	 
Iteration no:	170	 Ures: 	2.1736378009e-02	 Vres: 	7.2072942396e-01	 Pres: 	5.1851397385e-01	 
Iteration no:	171	 Ures: 	2.1608436466e-02	 Vres: 	7.1806758341e-01	 Pres: 	5.1008741473e-01	 
Iteration no:	172	 Ures: 	2.1635566026e-02	 Vres: 	7.1497444218e-01	 Pres: 	4.9791844190e-01	 
Iteration no:	173	 Ures: 	2.1799619328e-02	 Vres: 	7.1140719555e-01	 Pres: 	4.8228141570e-01	 
Iteration no:	174	 Ures: 	2.2076455689e-02	 Vres: 	7.0732198168e-01	 Pres: 	4.6350084902e-01	 
Iteration no:	175	 Ures: 	2.2438463681e-02	 Vres: 	7.0269169392e-01	 Pres: 	4.4194991246e-01	 
Iteration no:	176	 Ures: 	2.2856878860e-02	 Vres: 	6.9749315875e-01	 Pres: 	4.1805472227e-01	 
Iteration no:	177	 Ures: 	2.3303750867e-02	 Vres: 	6.9172299860e-01	 Pres: 	3.9230185493e-01	 
Iteration no:	178	 Ures: 	2.3753260484e-02	 Vres: 	6.8538435175e-01	 Pres: 	3.6524603571e-01	 
Iteration no:	179	 Ures: 	2.4182588561e-02	 Vres: 	6.7850075220e-01	 Pres: 	3.3753131127e-01	 
Iteration no:	180	 Ures: 	2.4572295132e-02	 Vres: 	6.7110262536e-01	 Pres: 	3.0990690154e-01	 
Iteration no:	181	 Ures: 	2.4906477408e-02	 Vres: 	6.6323938474e-01	 Pres: 	2.8326461362e-01	 
Iteration no:	182	 Ures: 	2.5172690879e-02	 Vres: 	6.5496604254e-01	 Pres: 	2.5865403580e-01	 
Iteration no:	183	 Ures: 	2.5361823189e-02	 Vres: 	6.4635382409e-01	 Pres: 	2.3729815251e-01	 
Iteration no:	184	 Ures: 	2.5467879478e-02	 Vres: 	6.3747722728e-01	 Pres: 	2.2050895514e-01	 
Iteration no:	185	 Ures: 	2.5487787906e-02	 Vres: 	6.2842345744e-01	 Pres: 	2.0950562298e-01	 
Iteration no:	186	 Ures: 	2.5421179204e-02	 Vres: 	6.1928019152e-01	 Pres: 	2.0505950261e-01	 
Iteration no:	187	 Ures: 	2.5270193892e-02	 Vres: 	6.1014407324e-01	 Pres: 	2.0719512229e-01	 
Iteration no:	188	 Ures: 	2.5039285002e-02	 Vres: 	6.0110931989e-01	 Pres: 	2.1511114903e-01	 
Iteration no:	189	 Ures: 	2.4735031337e-02	 Vres: 	5.9227542347e-01	 Pres: 	2.2747340273e-01	 
Iteration no:	190	 Ures: 	2.4365949516e-02	 Vres: 	5.8373661197e-01	 Pres: 	2.4278428216e-01	 
Iteration no:	191	 Ures: 	2.3942288392e-02	 Vres: 	5.7558881181e-01	 Pres: 	2.5968083919e-01	 
Iteration no:	192	 Ures: 	2.3475813687e-02	 Vres: 	5.6791988010e-01	 Pres: 	2.7703193711e-01	 
Iteration no:	193	 Ures: 	2.2979538408e-02	 Vres: 	5.6081583825e-01	 Pres: 	2.9395972329e-01	 
Iteration no:	194	 Ures: 	2.2467424421e-02	 Vres: 	5.5435176851e-01	 Pres: 	3.0979088130e-01	 
Iteration no:	195	 Ures: 	2.1953988518e-02	 Vres: 	5.4859736542e-01	 Pres: 	3.2402503149e-01	 
Iteration no:	196	 Ures: 	2.1453859647e-02	 Vres: 	5.4360846414e-01	 Pres: 	3.3628906836e-01	 
Iteration no:	197	 Ures: 	2.0981214571e-02	 Vres: 	5.3943208123e-01	 Pres: 	3.4631783627e-01	 
Iteration no:	198	 Ures: 	2.0549176198e-02	 Vres: 	5.3609869140e-01	 Pres: 	3.5392781211e-01	 
Iteration no:	199	 Ures: 	2.0169124248e-02	 Vres: 	5.3362708590e-01	 Pres: 	3.5900887760e-01	 
